device_timestamp,altitude,acceleration,ax_ms2,ay_ms2,az_ms2,altitude_filtered,acceleration_filtered,velocity_filtered
506.77,-64.4,10.005511381233845,-0.077,-0.452,9.995,0.41400000000000037,0.007675998840814273,-0.023771864264800106
506.92,-64.37,10.024518791443308,-0.091,-0.45,10.014,0.4120000000000005,0.0075408658874081165,-0.02385186426480265
506.94,-64.37,10.01410330483963,-0.093,-0.44,10.004,0.4104000000000002,0.006938283920465551,-0.024651864264802623
506.97,-64.4,10.016646444793786,-0.086,-0.431,10.007,0.4092000000000002,0.005964579328137134,-0.02065186426480164
506.99,-64.39,10.022419119154817,-0.079,-0.45,10.012,0.4092000000000002,0.005543030226228041,-0.017838961038992948
507.01,-64.39,9.997598561654694,-0.093,-0.428,9.988,0.4104000000000002,0.005560333663009871,-0.014105627705657653
507.03,-64.4,10.019552934138328,-0.084,-0.452,10.009,0.4156,0.005869413786581106,-0.01090562770565661
507.05,-64.4,10.029669436227698,-0.098,-0.452,10.019,0.4212,0.006369460291118827,-0.0035722943723146745
507.07,-64.42,10.01389539589864,-0.079,-0.438,10.004,0.4252000000000004,0.0063756608140452895,-0.004105627705649998
507.10,-64.42,10.010521714676013,-0.079,-0.452,10.0,0.4276000000000005,0.006113888016309801,-0.000754276354295138
507.12,-64.41,10.01730278068902,-0.091,-0.445,10.007,0.42840000000000034,0.004798785298930071,0.0008457236456934974
507.27,-64.37,10.010001248751172,-0.091,-0.438,10.0,0.4263999999999999,0.005070561738993646,0.0008457236456925726
507.29,-64.38,10.01719616459616,-0.089,-0.443,10.007,0.4243999999999994,0.00437885962969375,-0.006514276354314023
507.32,-64.39,10.016444578791418,-0.077,-0.428,10.007,0.42319999999999935,0.004355215961841665,-0.008514276354310752
507.34,-64.42,10.006707000807008,-0.12,-0.424,9.997,0.42119999999999946,0.003885493865094105,-0.01119479583482468
507.36,-64.42,9.990349042951403,-0.093,-0.445,9.98,0.4215999999999997,0.003423976509252782,-0.005594795834818982
507.38,-64.39,10.002200657855251,-0.077,-0.445,9.992,0.42279999999999973,0.002952761360303313,-0.0015947958348190194
507.40,-64.39,10.014411864907494,-0.077,-0.45,10.004,0.4235999999999996,0.0018937917060785027,-0.0009547958348180638
507.43,-64.29,10.017642337396559,-0.103,-0.45,10.007,0.42319999999999935,0.0017402413597734777,-0.008554795834806717
507.45,-64.29,10.024518791443308,-0.091,-0.45,10.014,0.42279999999999973,0.0012119654498845733,-0.02051323739325732
507.47,-64.33,10.01213628552868,-0.105,-0.438,10.002,0.4212,0.0007439562160924851,-0.045313237393246976
507.62,-64.37,10.017096735082475,-0.077,-0.443,10.007,0.41879999999999995,0.0014801358148925914,-0.05731323739324705
507.64,-64.37,10.005333527674127,-0.093,-0.445,9.995,0.4172000000000003,0.0015012730164556131,-0.064353237393253
507.66,-64.43,10.035319028311955,-0.074,-0.426,10.026,0.41319999999999996,0.0012785763513554827,-0.06723323739324764
507.68,-64.43,10.007110372130409,-0.093,-0.44,9.997,0.4075999999999999,0.001598684117388558,-0.06804709020709994
507.70,-64.43,10.004920289537543,-0.081,-0.438,9.995,0.40399999999999975,0.00028780231744157447,-0.0640470902070953
507.73,-64.42,10.012775739024619,-0.093,-0.455,10.002,0.40239999999999954,0.00020017282179551898,-0.06284709020709528
507.75,-64.36,10.002565370943596,-0.115,-0.445,9.992,0.40359999999999957,0.0004180133979577505,-0.06018042354042491
507.77,-64.37,10.004866066070049,-0.074,-0.438,9.995,0.4047999999999996,0.0005206993192012988,-0.06852709020708177
507.79,-64.37,9.995944877799197,-0.108,-0.455,9.985,0.40519999999999984,0.0008193221330559197,-0.0723230633614464
507.81,-64.4,9.993759802997069,-0.089,-0.455,9.983,0.4024000000000001,0.00013919610723256426,-0.08085639669478507
507.97,-64.41,10.006346036391106,-0.084,-0.529,9.992,0.3964000000000004,0.00020126778217331774,-0.08405639669478529
507.99,-64.44,10.017969205382895,-0.153,-0.443,10.007,0.38960000000000095,0.0002456445141717012,-0.08738973002812259
508.01,-64.48,10.032299885868643,-0.057,-0.404,10.024,0.386400000000001,0.0008501899765170151,-0.08018973002812027
508.03,-64.46,10.011050144715089,-0.146,-0.447,10.0,0.3848000000000013,0.000873609251624714,-0.07506108137947734
508.06,-64.51,10.011735364061517,-0.122,-0.469,10.0,0.38400000000000145,0.0018453805304509529,-0.06546108137946945
508.08,-64.51,10.018003942901998,-0.069,-0.419,10.009,0.38320000000000165,2.3163830645742678e-05,-0.05012774804613552
508.10,-64.47,9.984424119597485,-0.05,-0.407,9.976,0.38320000000000165,0.0007809452290623397,-0.028527748046115034
508.12,-64.43,10.014253841400267,-0.108,-0.44,10.004,0.382800000000002,0.0006804300563127441,-0.01919441471278197
508.14,-64.39,10.012153015211064,-0.098,-0.44,10.002,0.38200000000000217,0.000711275459731624,-0.01702667277730359
508.17,-64.39,9.992916190982491,-0.079,-0.438,9.983,0.377200000000002,0.0005163659741102577,-0.024226672777310453
508.32,-64.38,10.009666228201617,-0.077,-0.433,10.0,0.37200000000000216,0.000828450365948754,-0.03289333944397649
508.34,-64.46,9.99740871426191,-0.081,-0.426,9.988,0.3684000000000026,0.0019958801575972983,-0.04233333944398536
508.36,-64.44,10.019194129270078,-0.089,-0.443,10.009,0.36600000000000305,0.003139259503423446,-0.03540000611066365
508.38,-64.46,10.025628209743267,-0.074,-0.433,10.016,0.3640000000000032,0.003099140950929993,-0.03784156455221419
508.41,-64.41,10.027249922087313,-0.086,-0.467,10.016,0.3664000000000033,0.002786776280812262,-0.023601564552202893
508.43,-64.41,10.017682216960168,-0.098,-0.452,10.007,0.3692000000000036,0.0012770615939756169,-0.011068231218863023
508.45,-64.39,10.029627809644783,-0.057,-0.412,10.021,0.3724000000000035,0.0021148903348435512,-0.0018682312188607433
508.48,-64.45,9.989763610816825,-0.096,-0.431,9.98,0.3776000000000039,0.0020443349116166585,-0.0018682312188606546
508.50,-64.43,10.026054907090824,-0.089,-0.44,10.016,0.38280000000000425,0.0018822998194575292,-0.0003201327848566175
508.52,-64.44,10.002407410218803,-0.091,-0.447,9.992,0.38480000000000414,0.003059169619624953,-0.0003201327848566175
508.68,-64.44,10.01354687411009,-0.089,-0.428,10.004,0.3808000000000044,0.003177693118335014,0.0011198672151418794
508.69,-64.48,9.997692633803062,-0.067,-0.435,9.988,0.3784000000000043,0.0026389070428281514,-0.003946799451530748
508.72,-64.5,10.012668175866011,-0.096,-0.452,10.002,0.3744000000000045,0.0036342138046918395,0.001733200548459102
508.74,-64.46,10.02513062259041,-0.098,-0.462,10.014,0.37000000000000455,0.004134160112294012,0.004409173702822395
508.76,-64.46,10.022344286642722,-0.096,-0.445,10.012,0.3708000000000044,0.00513620265856936,0.010009173702830308
508.78,-64.46,10.00534307257877,-0.084,-0.447,9.995,0.3688000000000045,0.005053580711220391,0.014675840369495452
508.81,-64.38,10.010160088629952,-0.084,-0.443,10.0,0.36920000000000414,0.00403654023972166,0.02027584036949993
508.83,-64.41,9.994557018697726,-0.072,-0.431,9.985,0.3728000000000043,0.0031434269023157668,0.010275840369499927
508.85,-64.38,10.031995863236787,-0.084,-0.462,10.021,0.3764000000000044,0.0031819189877244723,0.004866808111440849
508.88,-64.38,10.009971478480844,-0.077,-0.44,10.0,0.3756000000000046,0.002990225001786655,-0.007933191888552304
509.03,-64.38,10.01395306559802,-0.086,-0.438,10.004,0.3764000000000044,0.0044079956948726105,-0.021933191888552358
509.05,-64.42,10.01384586460167,-0.098,-0.433,10.004,0.3764000000000044,0.004600523731057251,-0.041933191888571565
509.07,-64.53,10.017216928868018,-0.081,-0.445,10.007,0.376800000000004,0.005210234265051099,-0.05326652522190461
509.09,-64.45,9.998683363323392,-0.105,-0.45,9.988,0.3736000000000041,0.0054123294361942695,-0.051434267157387664
509.12,-64.49,10.017798860029083,-0.086,-0.457,10.007,0.37240000000000406,0.005901237456362907,-0.045034267157386426
509.14,-64.49,10.022164885891671,-0.086,-0.443,10.012,0.3732000000000039,0.006170100496766793,-0.034367600490721344
509.16,-64.44,10.022459777918794,-0.084,-0.45,10.012,0.3724000000000035,0.005423659881515519,-0.020447600490708883
509.18,-64.49,10.017128580586354,-0.096,-0.44,10.007,0.37280000000000313,0.005505271201333741,-0.020180933824040757
509.20,-64.45,10.0002021979558,-0.11,-0.438,9.99,0.373600000000003,0.00549060676784002,-0.015453661096776029
509.23,-64.32,10.004922088652165,-0.096,-0.435,9.995,0.3700000000000028,0.005477419948400168,-0.015293661096777197
509.38,-64.32,10.018644519095385,-0.086,-0.431,10.009,0.3664000000000027,0.005900768346309065,-0.030493661096784083
509.40,-64.41,10.024835459996337,-0.091,-0.457,10.014,0.3632000000000028,0.005576905464598383,-0.04529366109679306
509.43,-64.43,10.025207878143974,-0.069,-0.424,10.016,0.3600000000000028,0.006118492775956525,-0.04334699443012911
509.45,-64.43,10.03086810799544,-0.093,-0.435,10.021,0.3552000000000027,0.0063159884532642966,-0.043561759530800194
509.47,-64.43,10.017650173568649,-0.079,-0.455,10.007,0.3504000000000025,0.005481083118238672,-0.043561759530800194
509.49,-64.52,10.01859925338867,-0.069,-0.433,10.009,0.35080000000000267,0.005762192356458016,-0.04580175953079534
509.51,-64.51,10.009915334307278,-0.081,-0.438,10.0,0.3516000000000025,0.005834169357353147,-0.033401759530790553
